feature,importance
TD,0.1767918225049588
ATT,0.11362549591895522
LG,0.0752396609181627
CMP,0.06807288888361021
REC,0.06193094447624731
G,0.06065909199636592
YDS.1,0.05892905046617154
TGT,0.04491336923341946
ATT.1,0.041494354011507424
PCT,0.037799723236410815
INT,0.03575202892693625
SACKS,0.03446654753436847
20+,0.027538102831641643
Y/A,0.018038137348641542
Y/R,0.017730241914093586
SACK,0.01446352615094071
XPT,0.012630594445170902
FGA,0.012201436657238284
Position_DST,0.012056647890577364
FG,0.011532310422906734
XPA,0.010074755232775144
FF,0.009126464784108144
TD.1,0.008656804045218165
FR,0.007518568968860301
50+,0.005221417274843529
40-49,0.003637486558892566
Position_RB,0.00348974215872181
30-39,0.003034106390432801
SPC TD,0.002682812296132117
Position_K,0.002305525997633599
Position_QB,0.002121446422972385
FL,0.0020441344798907313
20-29,0.001614378340849783
Position_TE,0.001150276578116528
Position_WR,0.0007739455891712275
DEF TD,0.000682159113056356
SFTY,0.0
1-19,0.0
